"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae;g__Bemisia;s__Bemisia tabaci"	7038	"Aleurodes tabaci;Aleyrodes tabaci"	"Species"	"Herbivores"	"No"		"Lu, S., Chen, M., Li, J., Shi, Y., Gu, Q., Yan, F., 2019. Changes in Bemisia tabaci feeding behaviors caused directly and indirectly by cucurbit chlorotic yellows virus. Virology Journal 16(1). https://doi.org/10.1186/s12985-019-1215-8"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Bombycidae;g__Bombyx;s__Bombyx mori"	7091	"Phalaena mori"	"Species"	"Herbivores"	"No"		"Zhang, Z.-J., Zhang, S.-S., Niu, B.-L., Ji, D.-F., Liu, X.-J., Li, M.-W., Bai, H., Palli, S. R., Wang, C.-Z., Tan, A.-J., 2019. A determining factor for insect feeding preference in the silkworm, Bombyx mori. PLOS Biology 17(2), e3000162. https://doi.org/10.1371/journal.pbio.3000162"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Saturniidae;g__Antheraea;s__Antheraea pernyi"	7119	"Bombyx pernyi"	"Species"	"Herbivores"	"No"		"Li, W., Zhang, Z., Lin, L., Terenius, O., 2017. Antheraea pernyi (Lepidoptera: Saturniidae) and Its Importance in Sericulture, Food Consumption, and Traditional Chinese Medicine. Journal of Economic Entomology 110(4), 1404–1411. https://doi.org/10.1093/jee/tox140"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus;s__Chironomus tentans"	7153	"Chironomus (Camptochironomus) tentans"	"Species"	"Detritivores"	"No"	"Larvae are detritiovres, adults don't feeds"	"Lacey, R., Watzin, M. C., McIntosh, A.W., 1999. Sediment organic matter content as a confounding factor in toxicity tests with Chironomus tentans. Environmental Toxicology and Chemistry 18(2), 231–236. https://doi.org/10.1002/etc.5620180219. / Hein, J., Mahadeva, M. N., 1992. Rearing & Maintaining Midge Cultures (Chironomus Tentans) for Laboratory Studies. The American Biology Teacher 54(4), 236–240. https://doi.org/10.2307/4449462"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti"	7159	"Aedes aegypti var. luciensis;Aedes (Stegomyia) aegypti;Culex aegypti;Stegomyia aegypti;Stegomyia fasciata var. luciensis"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults female are hematophagous"	"Joy, T.K., Arik, A.J., Corby-Harris, V., Johnson, A.A., Riehle, M.A., 2010. The impact of larval and adult dietary restriction on lifespan, reproduction and growth in the mosquito Aedes aegypti. Experimental Gerontology 45(9), 685–690. https://doi.org/10.1016/j.exger.2010.04.009."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Culex;s__Culex pipiens"	7175	"Culex agilis;Culex autogenicus;Culex azoriensis;Culex bicolor;Culex bifurcatus;Culex calcitrans;Culex calloti;Culex comitatus;Culex consobrinus;Culex dipseticus;Culex disjunctus;Culex doliorum;Culex domesticus;Culex erectus;Culex fasciatus;Culex haematophagus;Culex longefurcatus;Culex luteus;Culex marginalis;Culex melanorhinus;Culex meridionalis;Culex osakaensis;Culex pallipes;Culex phytophagus;Culex quasimodestus;Culex rufinus;Culex rufus;Culex sternopunctatus;Culex thoracicus;Culex torridus;Culex trifurcatus;Culex unistriatus;Culex varioannulatus"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults female are hematophagous"	"Rizzoli, A., Bolzoni, L., Chadwick, E.A., Capelli, G., Montarsi, F., Grisenti, M., de la Puente, J. M., Muñoz, J., Figuerola, J., Soriguer, R., Anfora, G., Di Luca, M., Rosà, R., 2015. Understanding West Nile virus ecology in Europe: Culex pipiens host feeding preference in a hotspot of virus emergence. Parasites & Vectors 8, 213. https://doi.org/10.1186/s13071-015-0831-4. / Brackenbury, J., 2001. Locomotion through use of the mouth brushes in the larva of Culex pipiens (Diptera: Culicidae). Proceedings of the Royal Society of London. Series B: Biological Sciences 268(1462), 101–106. https://doi.org/10.1098/rspb.2000.1336."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Culex;s__Culex quinquefasciatus"	7176	"Culex (Culex) quinquefasciatus;Culex fatigans;Culex pipiens fatigans;Culex pipiens quinquefasciatus"	"Species"	"Omnivores"	"Yes"	"Larvae are microbivores/detritivores, adults are hematophagous"	"Gil, M.F., Fassolari, M., Battaglia, M.E., Berón, C.M., 2021. Culex quinquefasciatus larvae development arrested when fed on Neochloris aquatica. PLOS Neglected Tropical Diseases 15(12). https://doi.org/10.1371/journal.pntd.0009988"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__Drosophila"	7215		"Genus"	"Herbivores"	"No"		"Ahmad, M., Chaudhary, S.U., Afzal, A.J., Tariq, M., 2015. Starvation-Induced Dietary Behaviour in Drosophila melanogaster Larvae and Adults. Scientific Reports 5, 14285. https://doi.org/10.1038/srep14285."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__Drosophila;s__Drosophila sechellia"	7238		"Species"	"Herbivores"	"No"		"Salazar-Jaramillo, L., Wertheim, B., 2021. Does Drosophila sechellia escape parasitoid attack by feeding on a toxic resource? PeerJ 9, e10528. https://doi.org/10.7717/peerj.10528"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__Scaptomyza;s__Scaptomyza pallida"	7300		"Species"	"Detritivores"	"No"		"Snyder, G.B., Smith, O.M., Chapman, E.G., Crossley, M.S., Crowder, D.W., Fu, Z., Harwood, J.D., Jensen, A.S., Krey, K.L., Lynch, C.A., Snyder, W.E., 2022. Alternative prey mediate intraguild predation in the open field. Pest Management Science 78(9), 3939-3946. https://doi.org/10.1002/ps.6825"
