"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pieridae;g__Aporia;s__Aporia crataegi"	129397	"Papilio crataegi"	"Species"	"Herbivores"	"No"		"Krasnyuk, P.I., 1928. Bojaryshnitsa (Aporia crataegi L.). Bulletins of Mleew Horticultural Experiment Station 12, 44."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Monhysterida;f__Monhysteridae;g__Geomonhystera"	129859		"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Desmoscolecida;f__Desmoscolecidae;g__Desmoscolex"	130202		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Prociphilus;s__Prociphilus fraxinifolii"	133103		"Species"	"Herbivores"	"No"		"Bieńkowski, A., Orlova-Bienkowskaja, M., 2018. Woolly Ash Aphid Prociphilus Fraxinifolii (Riley, 1879) (Hemiptera: Eriosomatidae), A New Invasive Alien Pest of Ash Trees (Fraxinus) in Russia. BioRxiv 254078 https://doi.org/10.1101/254078."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Frankliniella;s__Frankliniella occidentalis"	133901	"Euthrips occidentalis;Frankliniella brunnescens;Frankliniella californica;Frankliniella occidentalis brunnescens"	"Species"	"Herbivores"	"No"		"De Kogel, W.J., Bosco, D., Van Der Hoek, M., Mollema, C., 2013. Effect of host plant on body size of Frankliniella occidentalis (Thysanoptera: Thripidae) and its correlation with reproductive capacity. European Journal of Entomology 96(4), 365–368."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Drusilla;s__Drusilla canaliculata"	135868		"Species"	"Carnivores"	"No"		"Balog, A., Mehrparvar, M., Weisser, W.W., 2013. Polyphagous predatory rove beetles (Coleoptera: Staphylinidae) induce winged morphs in the pea aphid Acythosiphon pisum (Hemiptera: Aphididae). European Journal of Entomology 110(1), 153–157. https://doi.org/10.14411/eje.2013.021"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Oscheius;s__Oscheius tipulae"	141969	"Oscheius sp. CEW1;Oscheius sp. FVV-1;Oscheius sp. JU179;Oscheius sp. PS1131;Oscheius sp. PS2070;Oscheius sp. PS959;Oscheius sp. PS966;Oscheius sp. SB128;Rhabditis tipulae"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Nemouridae;g__Nemurella;s__Nemurella pictetii"	143722		"Species"	"Omnivores"	"No"		"Lieske, R., Zwick, P., 2007. Food preference, growth and maturation of Nemurella pictetii (Plecoptera: Nemouridae). Freshwater Biology 52(7), 1187–1197. https://doi.org/10.1111/j.1365-2427.2007.01755.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Nemouridae;g__Amphinemura;s__Amphinemura sulcicollis"	143724		"Species"	"Omnivores"	"No"		"Madsen, B.L., 1974. A note on the food of Amphinemoura sulcicollis (Plecoptera). Hydrobiologia 45(2–3), 169–175. https://doi.org/10.1007/bf00013999"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Taeniopterygidae;g__Brachyptera;s__Brachyptera seticornis"	143732		"Species"	"Microbivores"	"No"	"Nymphs are microbiovores"	"Dangles, O., 2002. Functional plasticity of benthic macroinvertebrates: implications for trophic dynamics in acid streams. Canadian Journal of Fisheries and Aquatic Sciences 59(9), 1563–1573. https://doi.org/10.1139/f02-122"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Chloroperlidae;g__Siphonoperla;s__Siphonoperla torrentium"	143750		"Species"	"Omnivores"	"No"		"Tixier, G., Felten, V., Guérold, F., 2012. Population characteristics and feeding habits of Siphonoperla torrentium subject to varying prey, predator, and competitor abundance across an acidification gradient. Freshwater Science 31(1), 191–204. https://doi.org/10.1899/11-006.1"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Lecanidae;g__Monostyla"	145460		"NA"	"NA"	"NA"	"Different feeding habits within the genus"	
"k__Metazoa;p__Mollusca;c__Gastropoda;o__Stylommatophora;f__Agriolimacidae;g__Deroceras;s__Deroceras reticulatum"	145610	"Deroceras (Agriolimax) reticulatum;Limax reticulatus"	"Species"	"Omnivores"	"No"		"Barrada, M., Iglesias, J., Castillejo, J., 2004. Utilization of Weeds and Crop Plants by the Pest Slug, Deroceras reticulatum (Müller, 1774). Biological Agriculture & Horticulture 22(2), 185–198. https://doi.org/10.1080/01448765.2004.9755000"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora"	147100		"NA"	"NA"	"NA"	"Different feeding habits within the class"	
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela"	149990		"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Rhizoglyphus"	150114		"Genus"	"Herbivores"	"No"		"Diaz, A., Okabe, K., Eckenrode, C.J., Villani, M.G., Oconnor, B.M., 2000. Biology, ecology, and management of the bulb mites of the genus Rhizoglyphus (Acari: Acaridae). Experimental & applied acarology 24, 85-113. https://doi.org/10.1023/a:1006304300657"
"k__Metazoa;p__Annelida;c__Annelida_Incertae_Sedis;o__Annelida_Incertae_Sedis;f__Annelida_Incertae_Sedis;g__Hrabeiella;s__Hrabeiella periglandulata"	152469		"NA"	"NA"	"NA"		
"k__Metazoa;p__Annelida;c__Polychaeta;o__Polychaeta_incertae_sedis;f__Parergodrilidae"	152567		"Family"	"Detritivores"	"No"		"Fauchald, K., Jumars, P.A., 1979. The diets of worms: A study of Polychaete feeding guilds. Oceanography and Marine Biology Annual Review 17, 193–284. https://doi.org/10.5179/benthos1970.1981.65"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Folsomia"	158440		"Genus"	"NA"	"NA"	"Different feeding habits within the genus"	
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Folsomia;s__Folsomia candida"	158441		"Species"	"Fungivores"	"No"	"Feed on fungal hyphae (prefers fungi growing on the surfaces of leaf litter rather than on soil particles )"	"Fountain, M.T., Hopkin, S. P., 2005. Folsomia candida (Collembola): A “Standard” Soil Arthropod. Annual Review of Entomology 50(1), 201–222. https://doi.org/10.1146/annurev.ento.50.071803.130331"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocodea;f__Philopteridae;g__Anaticola;s__Anaticola crassicornis"	160206	"Esthiopterum crassicorne"	"Species"	"Detritivores"	"No"		"Bulgarella, M., Quenu, M., Shepherd, L.D., Morgan-Richards, M., 2018. The ectoparasites of hybrid ducks in New Zealand (Mallard x Grey Duck). International Journal for Parasitology: Parasites and Wildlife, 7(3), 335–342. https://doi.org/10.1016/j.ijppaw.2018.09.005"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Thrips;s__Thrips palmi"	161013		"Species"	"Herbivores"	"No"		"Ghosh, A., Jagdale, S.S., Basavaraj, Dietzgen, R.G., Jain, R.K., 2019. Genetics of Thrips palmi (Thysanoptera: Thripidae). Journal of Pest Science 93(1), 27–39. https://doi.org/10.1007/s10340-019-01160-2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Thrips;s__Thrips tabaci"	161014		"Species"	"Herbivores"	"No"		"Shiberu, T., Mahammed, A., 2014. The Importance and Management Option of Onion thrips, Thrips tabaci (L.) (Thysanoptera: Thripidae) in Ethiopia: A Review. Journal of Horticulture 1(2), 1-8. https://doi.org/10.4172/2376-0354.1000107"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Steinernematidae;g__Steinernema;s__Steinernema affine"	162469	"Neoaplectana affinis"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Frankliniella;s__Frankliniella intonsa"	163893	"Thrips intonsa"	"Species"	"Herbivores"	"No"		"Ikegawa, Y., Mori, K., Ohasa, M., Fujita, I., Watanabe, T., Ezoe, H., Namba, T., 2016. A theoretical study on effects of cultivation management on biological pest control: A spatially explicit model. Biological Control 93, 37–48. https://doi.org/10.1016/j.biocontrol.2015.11.008"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Onychiuridae;g__Onychiurus;s__Onychiurus yodai"	165479		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anguinidae;g__Ditylenchus"	166009		"Genus"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anguinidae;g__Ditylenchus;s__Ditylenchus dipsaci"	166011	"Anguillula dipsaci"	"Species"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Javesella;s__Javesella obscurella"	166223		"Species"	"Herbivores"	"No"		"Novotný, V., 1994. Association of Polyphagy in Leafhoppers (Auchenorrhyncha, Hemiptera) with Unpredictable Environments. Oikos 70(2), 223-232. https://doi.org/10.2307/3545633"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Leptopius"	166874		"Genus"	"Herbivores"	"No"	"Feed upon the foliage of broad-leaved plants, particularly Acacia species"	"Tilley, D.B., Barrows, T. T., Zimmerman, E. C., 1997. Bauxitic insect pupal cases from northern Australia. Alcheringa: An Australasian Journal of Palaeontology 21(2), 157–160. https://doi.org/10.1080/03115519708619182"
"k__Metazoa;p__Annelida;c__Clitellata;o__Crassiclitellata;f__Lumbricidae;g__Eisenia;s__Eisenia andrei"	168636	"Eisenia fetida andrei;Eiseniella andrei"	"Species"	"Detritivores"	"No"		"Jager T., Fleuren R.H.L.J., Roelofs W., de Groot A.C.2003. Feeding activity of the earthworm Eisenia andrei in artificial soil.Soil Biology and Biochemistry, 35: 313-322.https://doi.org/10.1016/S0038-0717(02)00282-1"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Scatopsidae;g__Coboldia;s__Coboldia fuscipes"	170625		"Species"	"Detritivores"	"No"	"Larvae feed on fungi and detritus"	"Pan, J.-Z., Zhang, C., Zhang, Y., Yang, J.-P., He, L., Yang, H., Dai, R.-H., 2024. Fitness of two mushroom flies Bradysia minpleuroti (Diptera: Sciaridae) and Coboldia fuscipes (Diptera: Scatopsidae) fed on two edible mushrooms. Journal of Applied Entomology 148, 870–881. https://doi.org/10.1111/jen.13294"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pseudococcidae;g__Planococcus;s__Planococcus citri"	170843	"Coccus citri;Phenacoccus citri"	"Species"	"Herbivores"	"No"		"Kerns, D., Wright, G., Loghry, J., 2004. Citrus mealybug (Planococcus citri). In: Citrus Arthropod Pest Management in Arizona. University of Arizona Cooperative Extension. Available at: https://cales.arizona.edu/crop/citrus/insects/citrusmealy.pdf"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Alcis;s__Alcis repandata"	174269	"Alcis repandatus;Phalaena repandata"	"Species"	"Herbivores"	"No"		"Hatcher, P.E., 1989. Host plants and nutrition in conifer-feeding Lepidoptera. Oxford Polytechnic, PhD Thesis."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Ampedus"	174912		"Genus"	"NA"	"NA"	"Different feeding habits within the genus"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Ampedus;s__Ampedus balteatus"	174913		"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults feed on pollen and nectar"	"Molleman, F., Depoilly, A., Vernon, P., Müller, J., Bailey, R., Jarzabek-Müller, A., Prinzing, A., 2016. The island rule of body size demonstrated on individual hosts: phytophagous click beetle species grow larger and predators smaller on phylogenetically isolated trees. Journal of Biogeography 43(7), 1388-1399. https://doi.org/10.1111/jbi.12725"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Byrrhidae;g__Byrrhus"	174915		"Genus"	"Herbivores"	"No"	"Feed on mosses"	"Pyszko, P., Plášek, V., Drozd, P., 2020. Don’t eat where you sleep: unexpected diversity of food web for beetles feeding on mosses. Insect Conservation and Diversity 14(3), 325–334. https://doi.org/10.1111/icad.12453"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Empididae;g__Empis"	178771		"Genus"	"Omnivores"	"Yes"	"Larve are predators, adults are predators but numerous of them feed also or exclusively on flower nectar and pollen"	"Niesiołowski, S., 2006. Morphology, biology, phenology and occurrence of the genus Empis Linnaeus (Empididae, Diptera) in Poland. Fragmenta Faunistica 49(1), 1–39. https://doi.org/10.3161/00159301ff2006.49.1.001"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocodea;f__Menoponidae;g__Trinoton;s__Trinoton querquedulae"	179177		"Species"	"Carnivores"	"No"		"Saxena, A.K., Agarwal, G.P., Chandra, S., Singh, O.P., 1985. Haematophagous nature of Trinoton querquedulae (Phthiraptera: Amblycera). Angewandte Parasitologie 26(4), 205–208."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Psocodea;f__Liposcelididae;g__Liposcelis;s__Liposcelis bostrychophila"	185214	"Liposcelis granicola"	"Species"	"Omnivores"	"No"	"Eating mainly detritus and fungi"	"Turner, B.D., 1994. Liposcelis bostrychophila (Psocoptera: Liposcelididae), a stored food pest in the UK. International Journal of Pest Management 40(2), 179–190. https://doi.org/10.1080/09670879409371879"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterophoridae;g__Platyptilia"	186113		"Genus"	"Herbivores"	"No"		"Lange, W. (1950). Biology and systematics of plume moths of the genus Platyptilia in California. Hilgardia, 19(19), 561-668."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Lepidocyrtus;s__Lepidocyrtus lanuginosus "	186250		"Species"	"Fungivores"	"No"		"Susanti, W.I., Widyastuti, R., Scheu, S., Potapov, A., 2021. Trophic niche differentiation and utilisation of food resources in Collembola is altered by rainforest conversion to plantation systems. PeerJ 9, e10971. https://doi.org/10.7717/peerj.10971."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Meloidogynidae;g__Meloidogyne;s__Meloidogyne exigua"	186942		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Entomobrya"	187625		"Genus"	"Microbivores"	"No"		"Katz, A., 2013. A contribution to species delimitation and taxonomy of North American Entomobrya (Collembola: Entomobryidae). University of Illinois at Urbana-Champaign, PhD Thesis, 169 pp. https://doi.org/10.13140/RG.2.2.10564.48008"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotoma;s__Isotoma viridis"	187635		"Species"	"Omnivores"	"No"	"Feeds on fungal hyphae and decaying leaf matter, but when such food are in short supply, it may prey on other microarthropods"	"Rochefort, S., Therrien, F., Shetlar, D.J., Brodeur, J., 2006. Species diversity and seasonal abundance of Collembola in turfgrass ecosystems of North America. Pedobiologia 50(1), 61–68. https://doi.org/10.1016/j.pedobi.2005.10.007"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Oncopoduridae;g__Oncopodura;s__Oncopodura crassicornis"	187676		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Parisotoma;s__Parisotoma notabilis"	187682	"Isotoma notabilis"	"Species"	"Detritivores"	"No"	"Feeds primarily on decaying organic matter, possibly linked to fungi"	"Dunger, W., Schulz, H., Zimdars, B., 2002. Colonization behaviour of Collembola under different conditions of dispersal: Proceedings of the Xth international Colloquium on Apterygota, České Budějovice 2000: Apterygota at the Beginning of the Third Millennium. Pedobiologia 46(3–4), 316–327. https://doi.org/10.1016/s0031-4056(04)70148-1"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Hypogastruridae;g__Schoettella;s__Schoettella ununguiculata"	187693		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Sinella;s__Sinella curviseta"	187695		"Species"	"Detritivores"	"No"		"Sitvarin, M.I., Romanchek, C., Rypstra, A.L., 2015. Nonconsumptive Predator-Prey Interactions: Sensitivity of the Detritivore Sinella curviseta (Collembola: Entomobryidae) to Cues of Predation Risk From the Spider Pardosa milvina (Araneae: Lycosidae). Environmental Entomology 44(2), 349–355. https://doi.org/10.1093/ee/nvv011"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Symphypleona;f__Katiannidae;g__Sminthurinus;s__Sminthurinus bimaculatus"	187699		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Tomoceridae;g__Tomocerus;s__Tomocerus minor"	187706	"Macrotoma minor"	"Species"	"Fungivores"	"No"	"Feeds principally on Cladosporium herbarum"	"Kilbertus, G., Vannier, G., 1981. Microflora-microfauna relations in the Cave of Saint-Catherine (Ariegean Pyrenees). 2. The alimentary regime of Tomocerus minor (Lubbock) and Tomocerus problematicus Cassaghau. Revue d'ecologie et de biologie du sol 18, 319–338."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Hypogastruridae;g__Willemia;s__Willemia denisi"	187710		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Hypogastruridae;g__Xenylla;s__Xenylla grisea"	187712		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Phora;s__Phora tincta"	187972		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Longidoridae;g__Longidorus;s__Longidorus caespiticola"	188090		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Meloidogynidae;g__Meloidogyne"	189290		"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Paratrichodorus;s__Paratrichodorus porosus"	189297		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Baetidae;g__Baetis;s__Baetis rhodani"	189839		"Species"	"Detritivores"	"No"	"Larvae are detritivores"	"Baekken, T., 1981. Growth patterns and food habits of Baetis rhodani, Capnia pygmaea and Diura nanseni in a West Norwegian River. Ecography 4(2), 139–144. https://doi.org/10.1111/j.1600-0587.1981.tb00990.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Lauxaniidae;g__Sapromyza;s__Sapromyza sexpunctata"	189943	"Nannomyza sexpunctata"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Bibionidae;g__Bibio;s__Bibio marci"	189979	"Tipula marci"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults feed on pollen and nectar"	"Frouz, J., Krištůfek, V., Li, X., Šantrůčková, H., Šustr, V., Brune, A., 2003. Changes in amount of bacteria during gut passage of leaf litter and during coprophagy in three species of Bibionidae (Diptera) larvae. Folia Microbiologica 48(4), 535–542. https://doi.org/10.1007/bf02931337"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Trichodorus;s__Trichodorus similis"	190390		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Paratrichodorus;s__Paratrichodorus teres"	190392		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Paratrichodorus;s__Paratrichodorus hispanus"	190393		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimida;f__Longidoridae;g__Xiphinema;s__Xiphinema vuittenezi"	191821		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Hybotidae;g__Platypalpus"	192608		"Genus"	"Carnivores"	"No"		"Grootaert, P., 1985. A note on the phenology of Platypalpus Macquart (Diptera: Empidoidea, Hybotidae) in Belgium using Malaise traps. Bulletin et Annales de la Societé royale belge d'Entomologie 121(4), 99–111."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;g__Cantharis;s__Cantharis rustica"	195172		"Species"	"Carnivores"	"No"	"Earthworms, soft-tissued insects and their larvae represent a major component in the prey of Cantharis larvae. Besides some predation on invertebrates, adult beetles probably feed mainly on nectar, pollen and honeydew"	"Traugott, M., 2003. The prey spectrum of larval and adult Cantharis species in arable land: An electrophoretic approach. Pedobiologia 47(2), 161–169. https://doi.org/10.1078/0031-4056-00179"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Byrrhidae;g__Chaetophora;s__Chaetophora spinosa"	195186		"Species"	"Herbivores"	"No"		"Majka, C.G., Noronha, C., Smith, M., 2006. Adventive and native Byrrhidae (Coleoptera) newly recorded from Prince Edward Island, Canada. Zootaxa 1168(1), 21-30. https://doi.org/10.11646/zootaxa.1168.1.2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;g__Rhagonycha;s__Rhagonycha lignosa"	195289		"Species"	"Carnivores"	"No"		"Day, K.R., Docherty, M., Leather, S.R., Kidd, N.A.C., 2006. The role of generalist insect predators and pathogens in suppressing green spruce aphid populations through direct mortality and mediation of aphid dropping behavior. Biological Control 38(2), 233–246. https://doi.org/10.1016/j.biocontrol.2006.01.002"
"k__Metazoa;p__Micrognathozoa;c__Micrognathozoa;o__Limnognathida;f__Limnognathidae;g__Limnognathia;s__Limnognathia maerski"	195507		"Species"	"Microbivores"	"No"		"https://philatax.pisceswebdesign.com/animalia/genus-species/limnognathia-maerski"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Philodinida;f__Philodinidae;g__Mniobia;s__Mniobia russeola"	195511	"Callidina russeola"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Laodelphax;s__Laodelphax striatella"	195883	"Laodelphax striatella"	"Species"	"Herbivores"	"No"		"Jing, P., Huang, L., Bai, S., Liu, F., 2015. Effects of rice resistance on the feeding behavior and subsequent virus transmission efficiency of Laodelphax striatellus. Arthropod-Plant Interactions 9(1), 97–105. https://doi.org/10.1007/s11829-014-9354-8"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Idiopidae"	196121		"Family"	"Carnivores"	"No"		"https://www.mindat.org/taxon-7376.html"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Curculio;s__Curculio glandium"	197013		"Species"	"Herbivores"	"No"	"Carpophagus weevil"	"Udaka, H., Sinclair, B. J., 2014. The overwintering biology of the acorn weevil, Curculio glandium in southwestern Ontario. Journal of Thermal Biology 44, 103–109. https://doi.org/10.1016/j.jtherbio.2014.02.019."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Baetidae;g__Centroptilum;s__Centroptilum luteolum"	197150		"Species"	"Detritivores"	"No"	"Larvae are detritivores"	"Petrović, A., Milošević, D., Paunović, M., Simić, S., Đorđević, N., Stojković, M., Simić, V., 2015. New data on the distribution and ecology of the mayfly larvae (Insecta: Ephemeroptera) of Serbia (central part of the Balkan Peninsula). Turkish Journal of Zoology 39, 195–209. https://doi.org/10.3906/zoo-1304-2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Baetidae;g__Cloeon;s__Cloeon dipterum"	197152		"Species"	"Detritivores"	"No"	"Larvae are detritivores, the adults don't feed."	"Banegas, B.P., Casset, M.A., Silvera, A., Rocha, L., 2020. Mouthpart morphology and food habits of a Pampean population of Cloeon dipterum (Linnaeus, 1761) (Ephemeroptera: Baetidae). Annales de Limnologie - International Journal of Limnology 56, 21. https://doi.org/10.1051/limn/2020019 / Sweeney, B.W., Funk, D.H., Camp, A.A., Buchwalter, D.B., Jackson, J.K., 2018. Why adult mayflies of Cloeon dipterum (Ephemeroptera:Baetidae) become smaller as temperature warms. Freshwater Science 37(1), 64–81. https://doi.org/10.1086/696611"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Chamobatidae"	198259		"Family"	"Fungivores"	"No"		"Schneider, K., 2005. Feeding biology and diversity of oribatid mites (Oribatida, Acari). Technische Universität Darmstadt, PhD Thesis, 115 pp."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Phenopelopidae;g__Eupelops;s__Eupelops hirtus"	198281	"Pelops hirtus"	"Species"	"Fungivores"	"No"		"Maraun, M., Augustin, D., Pollierer, M.M.,Scheu, S., 2020. Variation in trophic niches of oribatid mites in temperate forest ecosystems as indicated by neutral lipid fatty acid patterns. Experimental and Applied Acarology 81(1), 103–115. https://doi.org/10.1007/s10493-020-00494-2"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Liacaridae;g__Liacarus;s__Liacarus coracinus"	198285		"Species"	"Fungivores"	"No"		"Maraun, M., Augustin, D., Pollierer, M.M.,Scheu, S., 2020. Variation in trophic niches of oribatid mites in temperate forest ecosystems as indicated by neutral lipid fatty acid patterns. Experimental and Applied Acarology 81(1), 103–115. https://doi.org/10.1007/s10493-020-00494-2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Baizongia;s__Baizongia pistaciae"	198322	"Aphis pistaciae;Baizongia pistacia"	"Species"	"Herbivores"	"No"		"Martinez, J.-J.I., 2009. Anti-insect effects of the gall wall of Baizongia pistaciae [L.], a gall-inducing aphid on Pistacia palaestina Boiss. Arthropod-Plant Interactions 4(1), 29–34. https://doi.org/10.1007/s11829-009-9081-8"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gracillariidae;g__Phyllonorycter;s__Phyllonorycter maestingella"	199051	"Phalaena maestingella"	"Species"	"Herbivores"	"No"		"Nielsen, B.O., Ejlersen, A., 1977. The distribution pattern of herbivory in a beech canopy. Ecological Entomology 2(4), 293–299. https://doi.org/10.1111/j.1365-2311.1977.tb00894.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Barypeithes"	201782		"Genus"	"Herbivores"	"No"		"Gratwick, M., 1992. Wingless weevils. In: Gratwick, M. (eds) Crop Pests in the UK. Springer, Dordrecht, pp 210-215. https://doi.org/10.1007/978-94-011-1490-5_43"
