Feature.ID	Taxon	Confidence
3128fcd2044c1be63f5848d9be7c20eb	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999981186
2bf846d9afd6949b04b66a0544181f5a	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999998183559
482fd91df8104ca68b598fa429f477e4	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999999986527
8088a47b147e11e5fa5813660c9ddd15	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999950511
9a9e0b53371ade07e82324be0d516e81	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999001215527
2908ecce9186bd53ec33ca68203b09c8	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999949408
c859b3dea6240e3f1f650556dd8f4dfe	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999998057792
8dc04885ff935e2bfdb11580da6d84fd	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999996777612
5159ee560ba35fc9878f3fd258602688	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999988085914497
9abc46f2b1d04df6f225bbc6a4c04fd3	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999088017696
1a3a999bfcee292fa31f031a4c31e498	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999998658633893
341aa9b1de1fd7180aef049690f655ad	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999413845902
2e03dd2800082de4b599f45316201de8	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999347083247
adc732fcea689a96db9b8b94c099a0c0	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999308724499
c78f3c539be939e4cd86e1f932651d7f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999925705177
e3c6840448048e7d77576c57822be2ab	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999981916158
02f3fddc11c296d6f1bf268748464c7e	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999997196308148
4de33cc07607ca6fc87f95f98a7c59ce	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999987563881
d98e3f7b738ba8df05e6e1deec27136e	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999992571298
35fcf3dc98b6b308310dd957310bd4a5	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999940138
36d945c05b109f48ce4e2a05c47419d1	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999960661
335eb4eb50b8f303bd00af0660499e39	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999772363
1a8e1b07bfea08c2c1fb21634e74b650	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999994559
00584ac4327a4e01273c8bebe405ce4d	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999981589
81bcd0b82ce08b6cfb624a23336283d9	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999378116
d632625775da845137e5970bb341d63f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999998874776
0c90d9ba208f533e28ae08bd1f7b71cc	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999744526
4129c21cfb40da439e750fa5e4d152d9	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999946138
db3daa69cb979acc74d56400547266c1	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999959849
09eb2711a99705e17ab8a990a1ae661f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999799741487
2d7f8127545440f21bdca7cac47150d8	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999791246
d5e18d1952e2725979d4c0ea3a50aba0	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999938018
91335a9b8cf06856fbd6867dfb054ea6	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999953899
d035b68966921e93b36a25aaf5d82c13	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999987837
4fdaa3688892e4b97e292ef0b7366efc	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999949853
702c4bc360426d8203bc490f09676726	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999954243
9b2401d8352ae084811d6c415c9228a5	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999949066
ce645ebe35676b7f3f22e7c3c334967f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999965617
1c81b9aa260b341bdda400a88a30713c	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999932639
06f5cff67b6be7731889cd5c99ff2a45	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999999996018
c3ff545b4a497e1cefff732053a37abe	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999994202
6cd0458b463688b280e15dcbeab5c58b	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999979808
97c614fc8b3fd15ce30f448baea04fbb	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999990222
5005d32e864d04945a5703ab12f2f03b	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999999998459
a07751e791095c202634f8b92ec10216	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999998444
ebb9cf9f4230e767026850130aa4e63f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999998488
686116d23892b5bd0eeaff04c2d3298c	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999977039746
744b4bcf2a7e9d0f3b322bb180574f62	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999931019
904cfdc2bb764e850b565d323c2abe2c	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999950056
8bfff4a71c8f33404066b13427be71c8	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999860668
279195b086027c17dd391609a43d5570	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999988577
4f20351f233dabf74859ddb6724e80a9	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999987689
377fa24f7bcb78a67ecf0751edf34c00	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999966457
85ceb49dbb8e481e6dfcef3ef29b1ccf	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999950353
d5ae0ef8555ceeda23fa7418fbfb7360	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999991146
4ec4473b52c9b2d08c785a86ac28eb18	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999999997366
db8010c9ca8555ce6ac44636936b1516	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999997092
350227e81391ad8935a46d3d59b2d05e	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.99999999999814
ab7b88f271ff253aabea2490676cc1fd	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999997696
75c26df4e723b507293d85054c3d8375	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999993347
2c62ac7731f651d3127e1012c2e4c21f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999923979
9511cfb0e692f3e325754b1e22da0c35	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999977712
60f299c95905f9a172246b970889ff3c	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999984717
ff98de01e664036f0312e551a9e1085e	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999973975
c131582fb6db40f7493de657ba5f3399	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999992232
37e84f9c3609eca5b0a9759ce930cbe4	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999997374
669db77d93d81e9e0e40234e44d9eaa8	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999994308
aa39a7a9557d23f700a1db548348c2f2	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999992425
613f75561a40b53eb87a0e9d843ec9ce	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999991129
00b5b14425d1b6c0d1c115a7e5248a50	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999973545
fc2db6f81c071fa8f0dce8fc48966b5f	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999995034
99189de2b9cac578cdb1845e86bbe645	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999998158
08cb859343eca46dc13b5a1929673e50	d__Eukaryota(Metazoa);p__Annelida;c__Clitellata;o__Haplotaxida	0.999999999997999
